"מסך","מזהה (לא לערוך)","חלק","ניסוח נוכחי","ניסוח מתוקן"
"תיאורי המסלולים","full-tour","שם מסלול","סיור כללי",""
"תיאורי המסלולים","full-tour","תיאור מסלול","סקירה מודרכת · כ-44 שלבים",""
"תיאורי המסלולים","deep-tour","שם מסלול","סיור מעמיק",""
"תיאורי המסלולים","deep-tour","תיאור מסלול","כל ששת המסלולים במלואם · כ-72 שלבים",""
"תיאורי המסלולים","participants","שם מסלול","משתתפים",""
"תיאורי המסלולים","participants","תיאור מסלול","הוספה · עריכה · העדפות",""
"תיאורי המסלולים","task-rules","שם מסלול","כללי משימות",""
"תיאורי המסלולים","task-rules","תיאור מסלול","תבניות · משמרות · הגבלות",""
"תיאורי המסלולים","schedule","שם מסלול","שבצ""ק",""
"תיאורי המסלולים","schedule","תיאור מסלול","יצירה · מצב חי · חילוץ",""
"תיאורי המסלולים","algorithm","שם מסלול","הגדרות אלגוריתם",""
"תיאורי המסלולים","algorithm","תיאור מסלול","הגדרות · ערכות · אילוצים",""
"תיאורי המסלולים","profile","שם מסלול","כרטיס משתתף",""
"תיאורי המסלולים","profile","תיאור מסלול","מבט אישי על משתתף",""
"תיאורי המסלולים","task-panel","שם מסלול","לוח משימה",""
"תיאורי המסלולים","task-panel","תיאור מסלול","מבט פר-משימה",""
"סיור כללי","ft-welcome","כותרת","ברוך הבא ל-Garden Manager",""
"סיור כללי","ft-welcome","טקסט","סיור קצר (~6 דק׳) על חלקי המערכת — איך מגדירים משתתפים, איך נוצר השבצ""ק, ואיפה ההגדרות. ניתן לצאת בכל שלב, ולחזור מאוחר יותר מלשונית <strong>הגדרות</strong>. הסיור לא חוסם את הממשק — תוכל ללחוץ על כל כפתור שאני מציין.",""
"סיור כללי","ft-one-time","כותרת","משימות חד-פעמיות",""
"סיור כללי","ft-one-time","טקסט","בנוסף לתבניות הקבועות, ניתן להוסיף משימות חד-פעמיות — אירועים חריגים ביום ושעה ספציפיים, שאינם חוזרים. למשל: סיור קבוצתי, אירוח, או משמרת מילואים. יופיעו בשבצ""ק הבא שייווצר.",""
"סיור כללי","ft-schedule-intro","כותרת","הצעדים הבאים: לשונית השבצ""ק",""
"סיור כללי","ft-schedule-intro","טקסט","הסיור עומד להציג את לשונית השבצ""ק. השבצ""ק כבר נוצר עבור הדגמה, ותוכל לראות בו את כל המנגנונים — אזהרות, מצב חי, ומשבצות לאיוש.",""
"סיור כללי","ft-profile-pointer","כותרת","כרטיס משתתף",""
"סיור כללי","ft-profile-pointer","טקסט","לחץ על כל שם משתתף לפתיחת הכרטיס האישי — לו""ז, עומס, ואי-זמינות. למדריך מפורט: <strong>הגדרות ← 📖 מדריכים ← כרטיס משתתף</strong>.",""
"סיור כללי","ft-task-panel-pointer","כותרת","לוח משימה",""
"סיור כללי","ft-task-panel-pointer","טקסט","לחץ על תג משימה בגריד לפתיחת לוח מפורט — ציר זמן שבועי, דרישות, פילוח עומס. למדריך מפורט: <strong>הגדרות ← 📖 מדריכים ← לוח משימה</strong>.",""
"סיור כללי","ft-home","כותרת","כפתור הבית — השבצקיסט",""
"סיור כללי","ft-home","טקסט","הכותרת <strong>השבצקיסט</strong> שלמעלה היא גם כפתור הבית — הקש עליה בכל רגע כדי לחזור למסך הפתיחה. מסך הבית הוא נקודת המוצא שלך: הוא מראה אם השבצ""ק <strong>ישים</strong> ומה ה<strong>ציון</strong> שלו, כפתור גדול ל<strong>צור שבצ""ק</strong> בלחיצה אחת, פירוט כל מה שחוסם יצירה (אם יש), קישורים מהירים לכל הלשוניות, וכפתור <strong>📖 סיור מודרך</strong> לפתיחת הסיור הזה שוב.",""
"סיור כללי","ft-closing","כותרת","סיימת את הסיור הכללי",""
"סיור כללי","ft-closing","טקסט","להתחלה מהירה: ודא שיש מספיק משתתפים לכל קבוצה ← לחץ <strong>⚡ צור שבצ""ק</strong> ← בדוק את הציון בלוח המדדים. לפירוט נוסף על מסך מסוים, חזור ל<strong>הגדרות ← 📖 מדריכים</strong>.",""
"משתתפים","p-1","כותרת","לשונית המשתתפים",""
"משתתפים","p-1","טקסט","כאן מגדירים את כל אנשי הצוות. כל משתתף שיוגדר כאן ייכלל אוטומטית בחישוב השבצ""ק — ללא משתתפים, אין מה לשבץ.",""
"משתתפים","p-2","כותרת","הוספת משתתף",""
"משתתפים","p-2","טקסט","כפתור זה פותח גיליון להוספת משתתף חדש — שם, קבוצה ורמה, ואז <strong>שמירה</strong>. כל שדה משפיע על המשמרות שיוצעו למשתתף. <em>(בשלב הבא אפתח את הגיליון להדגמה.)</em>",""
"משתתפים","p-3","כותרת","שדות מרכזיים",""
"משתתפים","p-3","טקסט","<strong>שם</strong> — חופשי. <strong>קבוצה</strong> — קריטית למשימות שדורשות קבוצה אחידה. <strong>דרגה</strong> — L0 (מתחיל) / L2 / L3 / L4 (בכיר); אין L1 במערכת. הדרגה קובעת באילו משבצות המשתתף יוכל להשתבץ. <strong>הסמכות</strong> — פותחות גישה למשבצות מיוחדות.",""
"משתתפים","p-3","טקסט (מובייל)","הגיליון התחתון מציג את שדות הזיהוי: <strong>שם</strong>, <strong>קבוצה</strong>, ו<strong>דרגה</strong> (L0 / L2 / L3 / L4 — אין L1). הדרגה קובעת באילו משבצות המשתתף יוכל להשתבץ. <strong>הסמכות</strong>, <strong>מקדם עומס</strong>, ו<strong>אי-זיווג</strong> מופיעים בקטעים נוספים בהמשך הגיליון.",""
"משתתפים","p-4","כותרת","סינון לפי קבוצה",""
"משתתפים","p-4","טקסט","כפתורי הקבוצה מסננים את הטבלה למשתתפי קבוצה אחת בלבד. שימושי לוודא שלכל קבוצה יש מספיק משתתפים ברמות הנדרשות לפני יצירת שבצ""ק.",""
"משתתפים","p-4b","כותרת","עריכה והסרה של משתתף",""
"משתתפים","p-4b","טקסט","בכל שורה, עמודת <strong>פעולות</strong> מציגה שני כפתורים. <strong>✎ עריכה</strong> פותח את אותו גיליון העריכה לתיקון משתתף קיים — דרגה, קבוצה, הסמכות וכל היתר. <strong>🗑 הסרה</strong> מוחק את המשתתף: תוצג בקשת אישור (<strong>הסר</strong>), ומיד לאחריה הודעה עם קישור <strong>בטל</strong> לשחזור. <strong>שים לב</strong>: הסרת משתתף מוחקת גם את כל שיבוציו וכללי אי-הזמינות שלו.",""
"משתתפים","p-5","כותרת","אי-זמינות",""
"משתתפים","p-5","טקסט","בקטע זה מגדירים מתי המשתתף לא זמין — למשל יום 3 אחה""צ. הכפתור <strong>+ הוסף חסימה</strong> פותח בורר טווח ימים ושעות; המערכת תמנע אוטומטית שיבוץ במשמרות חופפות. <em>(פתחתי לך את גיליון העריכה של המשתתף הראשון להדגמה.)</em>",""
"משתתפים","p-5b","כותרת","מקדם עומס ופק""לים",""
"משתתפים","p-5b","טקסט","<strong>מקדם עומס</strong> — מספר שמשנה את מטרת חלוקת השעות של המשתתף (1.0 = ברירת מחדל; 1.5 = יקבל ~50% יותר; 0.5 = ~50% פחות; טווח 0.3–5.0). תג <strong>×N</strong> בעמודת הרמה מציין שהמקדם שונה מ-1. בקטע <strong>פק""לים</strong> שבגיליון — תיבות סימון להסמכות תפעוליות צמודות לאדם (מוגדרות בהגדרות ← הסמכות ופק""לים). <em>(פתחתי לך את גיליון העריכה להדגמה.)</em>",""
"משתתפים","p-6","כותרת","עריכת טבלה מהירה",""
"משתתפים","p-6","טקסט","מצב עריכת טבלה מאפשר לשנות שדות של כמה משתתפים בו-זמנית — יעיל לעדכון קבוצות או רמות בצובר. <strong>✓ אשר</strong> שומר את כל השינויים יחד. במובייל: כפתור <strong>+ מהיר</strong> פותח גיליון להוספת מספר משתתפים יחד עם ברירות מחדל משותפות.",""
"משתתפים","p-6b","כותרת","בחירה מרובה ופעולות בצובר",""
"משתתפים","p-6b","טקסט","תיבות הסימון בעמודה הימנית של הטבלה מאפשרות בחירה מרובה. כשנבחר משתתף אחד או יותר תופיע שורת פעולות: <strong>מחק משתתפים</strong> ו<strong>הוסף חוסר זמינות</strong> בצובר. קיצור: לחיצה על תג קבוצה בוחרת את כל חבריה; Shift/Ctrl-click מצרפת בחירות.",""
"משתתפים","p-7","כותרת","העדפות משימה",""
"משתתפים","p-7","טקסט","בגיליון העריכה תוכל להגדיר משימה <strong>מועדפת</strong> ו<strong>פחות-מועדפת</strong>. אלו אילוצים רכים — האופטימייזר יעדיף לכבד אותם, אך אינו מחויב לכך. אם תבחר משימה שהמשתתף לא כשיר אליה (רמה / הסמכה לא מתאימה), תופיע אזהרה מתחת לשדה — ההעדפה תישמר אך לא תשפיע על השיבוץ.",""
"משתתפים","p-7b","כותרת","אי-התאמה בין משתתפים",""
"משתתפים","p-7b","טקסט","בקטע <strong>אי-זיווג</strong> בגיליון העריכה ניתן לסמן שמות משתתפים שעדיף לא לשבץ יחד עם המשתתף הזה. זהו <strong>אילוץ רך</strong> — האופטימייזר ישתדל להפריד ביניהם, אך עשוי לשבץ יחד אם אין ברירה, וההפרה תופיע כאזהרה בלוח האזהרות. <strong>שים לב</strong>: כדי שהאילוץ יחול על תבנית מסוימת, צריך להפעיל בה את המתג <strong>""אי התאמה""</strong> (ראה לשונית כללי משימות). <em>(פתחתי לך את גיליון העריכה להדגמה.)</em>",""
"משתתפים","p-8","כותרת","מערכי משתתפים",""
"משתתפים","p-8","טקסט","מערך הוא תמונת מצב של הצוות — שמות, רמות, הסמכות. שמור כמה מערכים ועבור ביניהם (החלפה אינה מוחקת שבצ""ק קיים). בלוח עצמו: <strong>📊 ייבוא Excel</strong> לטעינת מערך מגיליון, <strong>עדכן</strong> לשמירת שינויים על מערך פעיל (תג ""שונה"" מציין שיש שינויים שלא נשמרו), <strong>שכפל / שנה שם / ייצא JSON או Excel</strong> לכל מערך.",""
"כללי משימות","t-1","כותרת","לשונית כללי משימות",""
"כללי משימות","t-1","טקסט","כאן מגדירים אילו משימות קיימות וכל כללי השיבוץ שלהן. שינויים משפיעים על השבצ""ק <strong>הבא</strong> שייווצר — שבצ""ק שכבר נוצר אינו נפגע.",""
"כללי משימות","t-2","כותרת","הוספת תבנית",""
"כללי משימות","t-2","טקסט","תבנית היא ""מתכון"" חוזר — למשל משימה עם 3 משמרות ביום, 8 שעות כל אחת. המערכת תייצר ממנה משמרות אוטומטית לכל ימות השבצ""ק.",""
"כללי משימות","t-3","כותרת","כרטיסיות התבניות",""
"כללי משימות","t-3","טקסט","כל תבנית מוצגת ככרטיסייה הניתנת להרחבה — שם, מספר משמרות ביום, שעת התחלה ומשך. מתחת לשדות תופיע שורת שבבים שמראה בזמן אמת את <strong>שעות ההתחלה והסיום של כל משמרת</strong> — למשל: <code>1 06:00–14:00 &nbsp; 2 14:00–22:00 &nbsp; 3 22:00–06:00</code>. <strong>כל שינוי שדה נשמר אוטומטית — אין כפתור ""שמור""</strong>; נצנוץ קצר בשורה מאשר כל שמירה.",""
"כללי משימות","t-4","כותרת","משבצות",""
"כללי משימות","t-4","טקסט","כל תבנית מורכבת ממשבצות — כל משבצת מייצגת תפקיד אחד שיש לאייש. לכל משבצת מגדירים: <strong>רמות מותרות</strong> (תגי הרמה ניתנים להחלפה בין רגיל / <strong>~</strong> עדיפות-נמוכה / כבוי), <strong>הסמכות נדרשות</strong>, ו<strong>הסמכות אסורות</strong> (פוסלות מחזיקי הסמכה ספציפית). הוספת משבצת חדשה מתבצעת באמצעות הכפתור <strong>+ משבצת</strong> בתוך כרטיסיית התבנית.",""
"כללי משימות","t-4b","כותרת","תת-צוותים",""
"כללי משימות","t-4b","טקסט","בנוסף למשבצות הראשיות, ניתן לחלק את התבנית ל<strong>תת-צוותים</strong> — קבוצות משבצות עצמאיות שמייצגות תפקידים שונים בתוך אותה משימה. לדוגמה: ""ניהול שטח"" עם 2 משבצות לצד ""תמיכה לוגיסטית"" עם 3 משבצות, כאשר לכל תת-צוות הסמכות שונות. הכפתור <strong>+ תת-צוות</strong> מוסיף קבוצה חדשה ומאפשר לתת לה שם ולהוסיף לה משבצות. משבצות בתת-צוות ומשבצות ""ראשיות"" יכולות לדור בכפיפה אחת — ניתן לשלב לפי הצורך. הסרת תת-צוות מתבצעת באמצעות <strong>✕</strong> בכותרתו.",""
"כללי משימות","t-5","כותרת","קבוצה אחידה",""
"כללי משימות","t-5","טקסט","כשמסומן — כל המשובצים במשמרת חייבים להיות מאותה קבוצה. מתאים למשימות שדורשות צוות מגובש.",""
"כללי משימות","t-6","כותרת","חסימת רצף",""
"כללי משימות","t-6","טקסט","כשמופעל — האופטימייזר ימנע משמרות ""כבדות"" רצופות לאותו אדם. חיוני למשימות ארוכות; השאר כבוי למשימות קצרות.",""
"כללי משימות","t-6b","כותרת","אי התאמה",""
"כללי משימות","t-6b","טקסט","כשמסומן — העדפות <strong>אי-זיווג</strong> שהוגדרו בכרטיסי המשתתפים יחולו על משמרות התבנית הזו, והאופטימייזר ישתדל לא לשבץ יחד אנשים שסומנו זה מול זה. זהו <strong>אילוץ רך</strong>: כשאין ברירה הם עשויים להשתבץ יחד, וההפרה תופיע כאזהרה. ללא הפעלת המתג כאן, הגדרות אי-הזיווג אינן משפיעות על התבנית.",""
"כללי משימות","t-6c","כותרת","ניתן לפיצול",""
"כללי משימות","t-6c","טקסט","כשמסומן — <strong>וגם פיצול משמרות מופעל בהגדרות האלגוריתם</strong> — המערכת רשאית לפצל מופע לשתי משמרות שוות לשני אנשים <strong>שונים</strong>: גם כדי לאייש משבצת שאחרת תישאר ריקה, וגם כשהפיצול <strong>משפר משמעותית</strong> את האיכות (עונש הפיצול קובע את הסף), ומאחה בחזרה כשכבר לא משתלם. בלתי תלוי ב""חוסם רצף""; ברירת המחדל כבויה — וכל עוד הוא כבוי השיבוץ מתנהג בדיוק כמו היום.",""
"כללי משימות","t-7","כותרת","כללי מרווח",""
"כללי משימות","t-7","טקסט","כלל מרווח מגדיר מינימום שעות מנוחה בין שתי משמרות שכפופות לאותו כלל — למשל ""הפסקה מינימלית 5 שעות"". כלל אחד יכול לשמש מספר תבניות.",""
"כללי משימות","t-7b","כותרת","השלמות שינה והתאוששות",""
"כללי משימות","t-7b","טקסט","מנגנון נפרד מכללי מרווח: בוחרים אילו <strong>משמרות-טריגר</strong> בתבנית מפעילות חלון התאוששות (לפי מספר המשמרת: 1, 2, 3...), ואז <strong>שעות התאוששות</strong> שבהן לא תשובץ שום משימה אחרת בעלת עומס. לדוגמה: סיום משמרת לילה (משמרת 3) → 12 שעות בלי שיבוץ נוסף. אילוץ <strong>קשה</strong> — אם מופר, השבצ""ק פסול.",""
"כללי משימות","t-8","כותרת","נוסחת עומס",""
"כללי משימות","t-8","טקסט","קובעת כמה ""כבד"" נחשב כל שעה של המשמרת לחישוב חלוקת עומס בין המשתתפים. בדרך-כלל אין צורך לשנות את ברירת המחדל. כפתור <strong>🧮</strong> ליד שדה הערך פותח חלון להגדרת הנוסחה לפי השוואה למשימות אחרות. לאחר שמירת נוסחה, יופיע כפתור <strong>ℹ️</strong> נוסף המציג את הפירוט ואזהרות אם הנוסחה התיישנה.",""
"כללי משימות","t-8b","כותרת","חלונות עומס מוגבר",""
"כללי משימות","t-8b","טקסט","מאפשרים להגדיר ש<em>חלק מהמשמרת</em> נחשב יותר עומס — למשל החלק 06:00–08:00 שוקל ×0.8, או החצי הראשון של משמרת לילה. בכל חלון: טווח שעות, משקל (0–1), ו<strong>חוסם בקצה</strong> — אם מסומן, חלון שנוגע בקצה המשמרת חוסם רצף עם משמרת סמוכה (אילוץ ברמת חלון, נפרד מ""חוסמת רצף"" שברמת התבנית).",""
"כללי משימות","t-8c","כותרת","משימות חד-פעמיות",""
"כללי משימות","t-8c","טקסט","בנוסף לתבניות החוזרות, אפשר להגדיר <strong>משימות חד-פעמיות</strong> — אירועים חריגים ביום ובשעה ספציפיים, שאינם חוזרים (למשל סיור קבוצתי, אירוח, או משמרת מילואים). לכל משימה כזו אותן אבני-בניין כמו לתבנית: משבצות, תת-צוותים, חלונות עומס מוגבר, והשלמות שינה. הן נשמרות כחלק מסט המשימות ויופיעו בשבצ""ק הבא שייווצר.",""
"כללי משימות","t-9","כותרת","מוכנות לשיבוץ",""
"כללי משימות","t-9","טקסט","תג זה מסכם את הבדיקה המקדימה הכוללת — <strong>קריטי</strong> אדום / <strong>אזהרה</strong> כתום / <strong>בסדר</strong> ירוק. לחיצה על התג פותחת רשימה מפורטת של כל הממצאים.<br><br><strong>ממצאים קריטיים (חוסמים יצירת שבצ""ק):</strong><br>• <strong>פער כישורים</strong> — אין מספיק משתתפים ברמה/הסמכה הנדרשות לאיוש כל המשבצות של תבנית. פתרון: הוסף משתתפים, הרחב רמות מותרות, או הסר משבצת.<br>• <strong>פער ביום ספציפי</strong> — כוח אדם כולל מספיק, אך ביום או שעה ספציפיים אין מי שכשיר וזמין יחד — לרוב בגלל אי-זמינות מרוכזת.<br>• <strong>חריגת קיבולת</strong> — סך השעות הנדרשות מהצוות גדול מסך הזמינות (מעל 100% ניצול).<br><br><strong>אזהרות (יצירה אפשרית, מומלץ לבדוק):</strong><br>• <strong>נדירות כשירות</strong> — משבצת עם מועמד יחיד, צפיפות 90–100%, או פער רוטציה במשימת ""קבוצה אחידה"".<br><br>בנוסף, כל כרטיסיית תבנית מציגה תג <strong>!</strong> או <strong>⚠</strong> ספציפי לתבנית עצמה — לחיצה עליו פותחת רשימה ממוקדת לאותה תבנית.",""
"כללי משימות","t-10","כותרת","סטים של משימות",""
"כללי משימות","t-10","טקסט","בדומה למערכי משתתפים: שמור גרסאות מלאות של כללי המשימות (תבניות + משימות חד-פעמיות + כללי מרווח) ועבור ביניהן. שימושי לשמירת תצורות שונות לפי תקופה או צורך. <strong>שים לב</strong>: טעינת סט מחליפה את שלושת הרכיבים ביחד. תג ""שונה"" מסמן שערכת את הסט הפעיל ולא שמרת.",""
"שבצ""ק","s-1","כותרת","יצירת שבצ""ק",""
"שבצ""ק","s-1","טקסט","שדה ""ימים"" קובע את אורך התקופה (1–7 ימים). כפתור <strong>⚡ צור שבצ""ק</strong> מפעיל את האופטימייזר. כשמשנים נתונים לאחר היצירה תופיע ההודעה ""⚠ השיבוץ לא מעודכן"" — יצירה מחדש מרעננת את התוצאה.",""
"שבצ""ק","s-2","כותרת","ניסיונות אופטימיזציה",""
"שבצ""ק","s-2","טקסט","כל ניסיון מפעיל מחזור שלם של בנייה ושיפור. ברירת המחדל (60 ניסיונות) מתאימה לצוות גדול; לצוות עד 20 משתתפים, 10–20 ניסיונות מספיקים ומסיימים תוך שניות. במהלך הריצה תופיע שכבת אופטימיזציה עם התקדמות, וכפתור <strong>לשבצ""ק (סיים עכשיו)</strong> לקבלת התוצאה הטובה ביותר עד כה.",""
"שבצ""ק","s-3","כותרת","לוח מדדים",""
"שבצ""ק","s-3","טקסט","✓ ""ישים"" — כל התנאים המחייבים עברו. ✗ ""לא ישים"" — יש הפרה שחובה לתקן. הציון הנומרי (נמוך = מאוזן יותר) מסכם קנסות מתנאים רכים. לחץ על תא האזהרות הכתום לקפיצה ישירה לחלונית ההפרות.",""
"שבצ""ק","s-4","כותרת","ניווט בין ימים",""
"שבצ""ק","s-4","טקסט","כל כפתור = יום תפעולי. תג <strong>!</strong> אדום על יום מציין שיש בו הפרות שדורשות תיקון. <strong>יום 0</strong>, אם מופיע, מציג שיבוצים מהשבצ""ק הקודם — לקריאה בלבד. במצב חי בלבד: <strong>🧊</strong> = יום שעבר וחסום לעריכה; <strong>⏳</strong> = היום הנוכחי (חסום עד שעת העוגן).",""
"שבצ""ק","s-5","כותרת","טבלת השיבוץ",""
"שבצ""ק","s-5","טקסט","כל שורה = פרק זמן; כל תא = משתתף משובץ או ריק. לחיצה על שם משתתף פותחת את הכרטיס האישי שלו, ולחיצה על תג משימה פותחת את לוח המשימה. מתחת לטבלה תמצא שתי תצוגות חלופיות (רצועות וגאנט) — נדבר עליהן בשלב הבא.",""
"שבצ""ק","s-5b","כותרת","תצוגות חלופיות — רצועות וגאנט",""
"שבצ""ק","s-5b","טקסט","מתחת לטבלת השיבוץ הרגילה יש שתי תצוגות נוספות, שתיהן ניתנות לקיפול:<br><br>• <strong>רצועות (Swimlane)</strong> — שורה לכל משתתף, עם פסים צבעוניים של משימות לאורך ציר זמן. שימושית לראות ""מי עובד מתי"" ולזהות פערים ארוכים בין משמרות. במצב חי מוצג סמן <strong>""עכשיו""</strong> אדום.<br>• <strong>גאנט</strong> — תצוגה דומה הממוקדת בסדר כרונולוגי, עם אנוטציות לחציית חצות (◄/►) שמראות שמשמרת ממשיכה ליום הבא.<br><br>במובייל, תצוגת הרצועות מחליפה את הגאנט. לחיצה על שם משתתף בכל אחת מהן פותחת את הכרטיס האישי שלו.",""
"שבצ""ק","s-6","כותרת","סרגל עומס עבודה",""
"שבצ""ק","s-6","טקסט","מציג שעות אפקטיביות לכל משתתף — מתחילים (L0) ובכירים מוצגים בנפרד (החלק הסגלי 👤 מוסתר כברירת מחדל; הפעל אותו ע""י המתג בראש הסרגל). הפס הכהה = העומס שנצבר עד היום הנוכחי. <strong>לחץ על שם</strong> לפתיחת הכרטיס האישי. <strong>לחץ על הפס</strong> לפתיחת חלון פיזור יומי — סרגל מיני לכל יום + סימון פיק/היום.",""
"שבצ""ק","s-7","כותרת","אזהרות והפרות",""
"שבצ""ק","s-7","טקסט","<strong>אילוצים קשים (HC)</strong> — שבצ""ק אינו ישים; חובה לתקן. <strong>אילוצים רכים (SC)</strong> — קנסות שמורידים את הציון אך השבצ""ק עדיין תקף. ניתן לקפל ולפתוח כל קטגוריה; הפרות מסודרות לפי יום.",""
"שבצ""ק","s-7","טקסט (מובייל)","<strong>HC</strong> — אילוצים קשים; השבצ""ק לא ישים עד תיקון. <strong>SC</strong> — אילוצים רכים; קנס בציון, אך השבצ""ק תקף. גלילה מטה מציגה את הקטגוריות והפרות לפי יום.",""
"שבצ""ק","s-8","כותרת","החלפה ידנית — חלק 1",""
"שבצ""ק","s-8","טקסט","הקשה (או ריחוף בעכבר) על שם משתתף בתא חושפת טולטיפ עם פעולות מהירות. <em>המדריך הציג עכשיו את הטולטיפ עבורך</em> — בשלב הבא נסביר את הכפתור הנכון.",""
"שבצ""ק","s-8","טקסט (מובייל)","במגע, הקשה על שם משובץ בטבלה פותחת <strong>גיליון תחתון</strong> עם פרטי המשתתף — דרגה, קבוצה, הסמכות, פק""לים ופילוח עומס — ובתחתיתו כפתורי פעולה מהירה <strong>⇄ החלפה</strong> ו-<strong>🆘 חילוץ</strong> (חילוץ — במצב חי בלבד). <em>פתח את הגיליון על שם כלשהו</em>; בשלב הבא נסביר את כפתור ההחלפה.",""
"שבצ""ק","s-8-action","כותרת","החלפה ידנית — חלק 2",""
"שבצ""ק","s-8-action","טקסט","הכפתור <strong>⇄ החלפה</strong> פותח את בורר ההחלפות. מצב <strong>חופשי</strong> — בחר ממלא חדש למשבצת. מצב <strong>החלפה</strong> — שני משתתפים מחליפים מקום זה עם זה. סינונים: חיפוש, צ'יפים של קבוצה/רמה, מיון לפי עומס. אם אין כשירים — <strong>מצב אבחון</strong> מציג את כל המועמדים שנפסלו ואת סיבת הפסילה.<br><br>התצוגה המקדימה כוללת שני מקטעים חשובים: <strong>(1) עומס לפני/אחרי</strong> לכל משתתף מושפע — עלייה באדום, ירידה בירוק. <strong>(2) שינויים באזהרות רכות</strong> — אזהרות חדשות לצד אזהרות שיבוטלו. עיין בשניהם לפני אישור.<br><br>תיבת <strong>""סמן ___ כלא-זמין""</strong> רושמת את המוחלף כלא-זמין לחלון המשבצת; כשהיא מסומנת מופיע שדה אופציונלי ל<strong>סיבה</strong> שיישמר בכרטיס המשתתף.",""
